,Vendor,Type_of_Spend,Brand,PO_Number,PO_Amount,Invoice_Amount,Difference,Date_Opened
1990,Google Inc.,Media Supported Asset,Clay-Dough,84869970,34731,8936,25795,2022-07-04
2743,KYG Antler LLC,Media Supported Asset,GI-Bro,26744403,34695,3923,30772,2022-04-04
3594,TikTok Inc,Brand Publicity,Merf,20777697,34641,3061,31580,2022-07-19
4316,Nintendo Technologies,Brand Asset Development,Merf,39069259,34561,387,34174,2022-04-11
759,KYG Antler LLC,Brand Asset Development,Transmorphers,88934082,34552,6421,28131,2022-07-29
1059,Pinterest Inc,E-Commerce,Merf,67521870,34529,5039,29490,2022-08-21
4296,The Martingale Agency,Media Supported Asset,Transmorphers,56597253,34472,20674,13798,2022-01-17
4205,TikTok Inc,Influencer,Merf,25659869,34467,24973,9494,2022-06-23
1381,Nintendo Technologies,Influencer,Transmorphers,18736601,34445,28637,5808,2022-02-18
4025,The Martingale Agency,Brand Asset Development,Space Wars,28997750,34433,24947,9486,2022-03-27
2034,Meta Platforms,Media Supported Asset,Merf,21534175,34381,19899,14482,2022-03-16
4170,Google Inc.,Influencer,Clay-Dough,59201509,34381,11690,22691,2022-04-01
4992,The Martingale Agency,Brand Asset Development,Transmorphers,57640049,34263,5150,29113,2022-09-20
1564,The Martingale Agency,Brand Asset Development,Transmorphers,21894152,34248,11669,22579,2022-03-05
658,Meta Platforms,Media Supported Asset,Transmorphers,44271679,34204,265,33939,2022-04-06
1541,Google Inc.,E-Commerce,Transmorphers,34690770,34174,25386,8788,2022-02-11
2979,Nintendo Technologies,Brand Publicity,Space Wars,24552722,34174,3027,31147,2022-09-29
783,The Martingale Agency,Media Supported Asset,Merf,69313001,34170,30703,3467,2022-01-08
4363,Google Inc.,E-Commerce,GI-Bro,36890142,34153,34109,44,2022-04-08
2092,Nintendo Technologies,Brand Publicity,Transmorphers,77422739,34000,6708,27292,2022-06-19
4109,Google Inc.,Media Supported Asset,Clay-Dough,51479354,33974,7049,26925,2022-08-02
1096,Meta Platforms,Media Supported Asset,Transmorphers,86187481,33900,67,33833,2022-08-26
2594,Meta Platforms,E-Commerce,Transmorphers,48748225,33899,23831,10068,2022-06-21
4402,KYG Antler LLC,Media Supported Asset,Clay-Dough,39680137,33810,2761,31049,2022-08-15
1454,Nintendo Technologies,Influencer,Space Wars,52476652,33790,22148,11642,2022-06-23
4028,TikTok Inc,Influencer,Clay-Dough,99827822,33785,3640,30145,2022-08-21
1430,Disney Studios,Influencer,Space Wars,92876464,33778,1557,32221,2022-08-08
3997,The Martingale Agency,Brand Publicity,Transmorphers,94593326,33762,14978,18784,2022-01-16
1010,Nintendo Technologies,Media Supported Asset,Transmorphers,16473883,33761,32496,1265,2022-05-20
3989,KYG Antler LLC,Brand Publicity,GI-Bro,11969841,33687,524,33163,2022-09-04
3976,Disney Studios,Brand Asset Development,Clay-Dough,92143264,33658,5823,27835,2022-07-12
2336,The Martingale Agency,Brand Asset Development,GI-Bro,52712729,33649,23922,9727,2022-01-19
835,Nintendo Technologies,Media Supported Asset,GI-Bro,29619626,33543,32873,670,2022-02-06
4952,Pinterest Inc,Brand Publicity,Clay-Dough,97198694,33515,4960,28555,2022-04-07
164,The Martingale Agency,Influencer,Transmorphers,35249417,33512,4724,28788,2022-08-31
3796,Meta Platforms,Brand Publicity,Transmorphers,14300427,33509,8847,24662,2022-03-02
3542,Disney Studios,Influencer,Space Wars,83587090,33508,5201,28307,2022-09-14
1215,Google Inc.,Brand Asset Development,GI-Bro,61974440,33487,813,32674,2022-09-15
3444,Pinterest Inc,Brand Asset Development,Clay-Dough,72505223,33450,18938,14512,2022-03-06
1969,Disney Studios,Brand Asset Development,Merf,12249235,33418,16948,16470,2022-01-19
3811,Pinterest Inc,Media Supported Asset,GI-Bro,79674764,33416,15162,18254,2022-06-04
3007,TikTok Inc,Brand Publicity,Space Wars,46684953,33405,7964,25441,2022-07-28
2729,TikTok Inc,Brand Asset Development,GI-Bro,46608989,33403,4100,29303,2022-07-24
1293,Disney Studios,Media Supported Asset,Space Wars,97743816,33377,8678,24699,2022-03-01
4857,Pinterest Inc,Influencer,Transmorphers,85213962,33333,7180,26153,2022-07-18
1735,Disney Studios,Brand Asset Development,GI-Bro,10021142,33309,11656,21653,2022-06-11
2620,Google Inc.,Media Supported Asset,Transmorphers,50287724,33273,1678,31595,2022-09-26
488,Google Inc.,Media Supported Asset,Merf,37084677,33263,31755,1508,2022-06-24
4379,Pinterest Inc,Media Supported Asset,Merf,49861986,33216,7122,26094,2022-04-09
4574,Meta Platforms,E-Commerce,Merf,53945501,33206,27030,6176,2022-05-21
3558,TikTok Inc,Brand Publicity,Transmorphers,39854102,33180,28346,4834,2022-03-12
1824,Google Inc.,Media Supported Asset,Space Wars,93612009,33142,9245,23897,2022-01-17
1923,TikTok Inc,Influencer,Space Wars,82683991,33126,2430,30696,2022-07-21
1407,TikTok Inc,Media Supported Asset,Space Wars,33816727,33012,3393,29619,2022-07-31
2012,Pinterest Inc,E-Commerce,Clay-Dough,67926904,33001,22532,10469,2022-04-17
2840,Meta Platforms,Brand Publicity,GI-Bro,67405248,32989,1017,31972,2022-07-27
3154,The Martingale Agency,Media Supported Asset,Clay-Dough,68705751,32989,7181,25808,2022-04-20
3985,Google Inc.,Brand Publicity,Space Wars,35341376,32951,4655,28296,2022-07-30
4119,KYG Antler LLC,Media Supported Asset,Merf,21727830,32908,220,32688,2022-01-29
3538,The Martingale Agency,Media Supported Asset,Merf,70703055,32892,13932,18960,2022-05-26
4550,Pinterest Inc,Brand Publicity,Space Wars,47474016,32888,6797,26091,2022-07-08
1484,KYG Antler LLC,Influencer,Merf,67312076,32838,4533,28305,2022-01-25
375,Nintendo Technologies,E-Commerce,Clay-Dough,88047203,32785,2317,30468,2022-09-14
3695,Nintendo Technologies,Brand Publicity,GI-Bro,73081146,32751,23570,9181,2022-06-11
196,KYG Antler LLC,E-Commerce,Merf,75652849,32719,7669,25050,2022-08-11
43,Google Inc.,Influencer,Merf,92618046,32718,4368,28350,2022-06-27
4561,Pinterest Inc,Influencer,Merf,30045516,32673,3646,29027,2022-02-11
4808,Nintendo Technologies,Influencer,Merf,81934499,32504,7297,25207,2022-08-15
2703,Disney Studios,Media Supported Asset,Clay-Dough,35840847,32416,2497,29919,2022-09-02
1079,Pinterest Inc,Influencer,Transmorphers,17307558,32330,5878,26452,2022-01-30
4758,Nintendo Technologies,Brand Asset Development,Space Wars,21038319,32288,24494,7794,2022-01-22
1384,Meta Platforms,Brand Asset Development,Clay-Dough,25277771,32262,9412,22850,2022-04-09
3808,Google Inc.,Media Supported Asset,GI-Bro,40714509,32234,14760,17474,2022-04-07
2874,The Martingale Agency,E-Commerce,Merf,18073520,32209,6614,25595,2022-04-23
3810,Pinterest Inc,Brand Publicity,Transmorphers,99519216,32199,10764,21435,2022-06-28
1487,Google Inc.,Brand Asset Development,Space Wars,40573371,32192,5156,27036,2022-09-10
1535,Nintendo Technologies,Brand Publicity,GI-Bro,27934229,32140,4159,27981,2022-09-10
466,KYG Antler LLC,E-Commerce,Space Wars,21725753,32124,22149,9975,2022-04-28
3020,Google Inc.,Brand Publicity,GI-Bro,97133356,32115,257,31858,2022-08-23
2768,TikTok Inc,Media Supported Asset,Merf,53601303,32054,21229,10825,2022-06-07
656,TikTok Inc,Brand Asset Development,Clay-Dough,92670660,32045,4858,27187,2022-08-31
742,KYG Antler LLC,Media Supported Asset,Space Wars,47082446,32034,1673,30361,2022-03-06
3021,Meta Platforms,E-Commerce,Clay-Dough,15742721,32027,447,31580,2022-07-09
3337,Disney Studios,Influencer,Clay-Dough,90036744,32002,5991,26011,2022-05-07
2661,Meta Platforms,E-Commerce,Transmorphers,79502120,31953,19174,12779,2022-01-27
4045,KYG Antler LLC,Brand Asset Development,Merf,59858913,31952,16410,15542,2022-02-15
2919,TikTok Inc,E-Commerce,Space Wars,11158594,31942,2054,29888,2022-01-15
3308,Disney Studios,Influencer,GI-Bro,30048872,31898,2648,29250,2022-02-18
3737,KYG Antler LLC,Brand Publicity,Clay-Dough,86197721,31846,812,31034,2022-08-24
4783,Meta Platforms,Influencer,GI-Bro,88535992,31812,21286,10526,2022-05-13
2277,Meta Platforms,Media Supported Asset,Space Wars,15010579,31784,1006,30778,2022-09-06
4212,Pinterest Inc,Media Supported Asset,Space Wars,44746185,31758,13784,17974,2022-03-16
2082,KYG Antler LLC,Influencer,GI-Bro,17068079,31748,2239,29509,2022-01-24
4358,Google Inc.,Influencer,Merf,73688057,31708,5004,26704,2022-07-01
1989,Meta Platforms,Influencer,Space Wars,24046071,31704,6229,25475,2022-09-02
4394,TikTok Inc,E-Commerce,Clay-Dough,76671595,31653,26339,5314,2022-03-28
3648,The Martingale Agency,Media Supported Asset,GI-Bro,11528140,31629,11087,20542,2022-04-05
4337,TikTok Inc,Brand Publicity,Merf,27949248,31620,18475,13145,2022-06-24
2401,Google Inc.,Media Supported Asset,Clay-Dough,95894489,31592,948,30644,2022-07-26
3366,The Martingale Agency,E-Commerce,Space Wars,98873615,31589,12453,19136,2022-02-20
3872,TikTok Inc,Brand Publicity,Transmorphers,84925625,31581,4444,27137,2022-08-22
4730,Meta Platforms,Brand Asset Development,GI-Bro,90237007,31579,29796,1783,2022-06-24
4517,Pinterest Inc,Influencer,Space Wars,33049887,31536,10998,20538,2022-01-31
4064,TikTok Inc,Brand Publicity,GI-Bro,48538756,31524,12929,18595,2022-06-19
2059,Google Inc.,Brand Publicity,GI-Bro,73175715,31378,11505,19873,2022-05-14
4600,Meta Platforms,E-Commerce,Transmorphers,70549718,31344,2715,28629,2022-09-20
426,The Martingale Agency,Brand Asset Development,Merf,91299489,31294,13653,17641,2022-01-16
842,Meta Platforms,Influencer,Merf,99248348,31291,18797,12494,2022-04-09
456,Meta Platforms,E-Commerce,Merf,77546149,31281,24559,6722,2022-06-03
1022,Nintendo Technologies,Brand Publicity,Clay-Dough,27849076,31230,1806,29424,2022-06-18
3937,The Martingale Agency,Brand Publicity,Clay-Dough,30295285,31194,24301,6893,2022-02-25
4089,Google Inc.,E-Commerce,Transmorphers,70452293,31178,13681,17497,2022-05-06
242,Pinterest Inc,Influencer,Transmorphers,48096022,31082,7920,23162,2022-01-23
4210,Pinterest Inc,Influencer,GI-Bro,28230597,31082,1959,29123,2022-08-29
3834,Disney Studios,Brand Asset Development,Space Wars,72932415,31077,12379,18698,2022-01-24
5,Meta Platforms,Brand Asset Development,Clay-Dough,23497854,31074,3623,27451,2022-01-22
1887,Meta Platforms,Influencer,Transmorphers,79044458,31022,3617,27405,2022-07-18
3223,Disney Studios,E-Commerce,Space Wars,78846501,31021,4135,26886,2022-05-17
2967,The Martingale Agency,E-Commerce,GI-Bro,26517368,30998,3523,27475,2022-07-29
4851,TikTok Inc,Brand Asset Development,Transmorphers,95667380,30974,29483,1491,2022-02-12
4740,Disney Studios,E-Commerce,Transmorphers,15960199,30957,3951,27006,2022-08-11
1255,Google Inc.,Media Supported Asset,Merf,62357150,30924,10210,20714,2022-03-30
570,Pinterest Inc,Brand Asset Development,Space Wars,36452005,30908,29165,1743,2022-06-04
4780,Pinterest Inc,Media Supported Asset,GI-Bro,95781271,30888,5645,25243,2022-09-01
292,KYG Antler LLC,E-Commerce,Clay-Dough,73231691,30878,19177,11701,2022-03-31
581,Disney Studios,Influencer,Clay-Dough,42681889,30858,29905,953,2022-03-02
4359,Nintendo Technologies,Media Supported Asset,Clay-Dough,99991338,30832,2737,28095,2022-08-03
3788,KYG Antler LLC,E-Commerce,Merf,41697107,30827,2383,28444,2022-08-15
3251,Disney Studios,E-Commerce,Space Wars,61986617,30821,27719,3102,2022-01-09
4762,The Martingale Agency,Brand Publicity,Transmorphers,94562813,30781,871,29910,2022-03-12
1172,Disney Studios,E-Commerce,Transmorphers,15865526,30779,3207,27572,2022-08-11
4792,Nintendo Technologies,E-Commerce,Transmorphers,72684805,30744,277,30467,2022-08-28
4838,Meta Platforms,Media Supported Asset,GI-Bro,72873566,30733,2968,27765,2022-09-21
450,Disney Studios,Brand Publicity,Transmorphers,33564796,30729,13677,17052,2022-02-19
924,TikTok Inc,Influencer,GI-Bro,41563653,30701,1645,29056,2022-07-22
985,KYG Antler LLC,Media Supported Asset,GI-Bro,27902105,30669,5055,25614,2022-06-09
3568,Disney Studios,Influencer,Space Wars,83260441,30646,5136,25510,2022-09-20
1611,Disney Studios,Influencer,Clay-Dough,50954671,30619,2246,28373,2022-07-14
4571,The Martingale Agency,Brand Publicity,GI-Bro,66559261,30612,385,30227,2022-08-11
995,TikTok Inc,Influencer,Transmorphers,90544769,30604,3551,27053,2022-08-15
4306,The Martingale Agency,Media Supported Asset,Merf,16562641,30600,3977,26623,2022-03-27
4095,Nintendo Technologies,Brand Publicity,Space Wars,65897217,30543,2328,28215,2022-02-23
2584,The Martingale Agency,Brand Asset Development,Merf,10623000,30512,29866,646,2022-01-11
1169,Meta Platforms,Media Supported Asset,GI-Bro,92908022,30509,14240,16269,2022-02-26
655,KYG Antler LLC,Brand Publicity,Clay-Dough,73877617,30502,22632,7870,2022-03-02
3724,Meta Platforms,E-Commerce,GI-Bro,36080740,30496,6915,23581,2022-01-17
1176,Nintendo Technologies,E-Commerce,Space Wars,88813152,30493,4685,25808,2022-02-23
1882,The Martingale Agency,Brand Asset Development,Clay-Dough,17516561,30479,2082,28397,2022-09-15
1271,Pinterest Inc,Brand Publicity,GI-Bro,15054523,30467,16041,14426,2022-04-29
3795,TikTok Inc,Influencer,Clay-Dough,49461185,30460,2265,28195,2022-08-30
1721,TikTok Inc,Influencer,GI-Bro,85155990,30420,21867,8553,2022-05-31
582,Disney Studios,Influencer,Space Wars,94170513,30397,3230,27167,2022-08-10
1201,KYG Antler LLC,E-Commerce,Transmorphers,41895063,30360,28587,1773,2022-06-18
4729,TikTok Inc,Brand Publicity,Transmorphers,97333655,30351,250,30101,2022-08-24
1428,Google Inc.,E-Commerce,Merf,99359677,30337,27851,2486,2022-04-07
4399,Pinterest Inc,Brand Publicity,Clay-Dough,20426838,30304,28167,2137,2022-01-19
3948,KYG Antler LLC,Influencer,Clay-Dough,48999229,30282,20554,9728,2022-05-18
244,The Martingale Agency,Influencer,GI-Bro,67041302,30250,2827,27423,2022-09-25
2965,TikTok Inc,E-Commerce,Merf,88808447,30236,5505,24731,2022-01-27
95,The Martingale Agency,Media Supported Asset,Transmorphers,13941348,30232,953,29279,2022-07-08
3010,Meta Platforms,E-Commerce,Space Wars,85486043,30216,8573,21643,2022-04-13
1745,Meta Platforms,Brand Asset Development,GI-Bro,54008841,30197,18319,11878,2022-02-13
3764,Nintendo Technologies,Brand Asset Development,GI-Bro,86667226,30149,26494,3655,2022-01-03
3274,Pinterest Inc,E-Commerce,Merf,32964242,30146,16114,14032,2022-06-26
2057,Google Inc.,Brand Asset Development,Space Wars,39728118,30144,4351,25793,2022-07-12
2894,Meta Platforms,Influencer,Clay-Dough,58551281,30125,22129,7996,2022-03-27
2183,Disney Studios,Influencer,Space Wars,58996527,30104,1530,28574,2022-01-16
2404,TikTok Inc,Media Supported Asset,GI-Bro,59887705,30093,2873,27220,2022-05-09
2488,Nintendo Technologies,Influencer,Clay-Dough,10552930,30027,24986,5041,2022-06-23
47,KYG Antler LLC,Influencer,Space Wars,64567440,30026,20034,9992,2022-04-12
4044,Disney Studios,Influencer,Space Wars,37468509,30013,3337,26676,2022-06-03
2184,Meta Platforms,Brand Asset Development,Space Wars,91936550,29934,2478,27456,2022-02-24
3426,Disney Studios,E-Commerce,Clay-Dough,90578985,29904,9670,20234,2022-05-30
1289,Google Inc.,Brand Asset Development,Merf,67859423,29896,24162,5734,2022-06-14
1785,Google Inc.,Brand Publicity,Clay-Dough,32904492,29879,28320,1559,2022-04-05
1390,Disney Studios,Brand Publicity,Space Wars,57809754,29859,1069,28790,2022-08-06
1463,Disney Studios,E-Commerce,GI-Bro,90418936,29823,8560,21263,2022-06-09
4021,Nintendo Technologies,E-Commerce,Merf,52639432,29802,7214,22588,2022-05-15
2615,KYG Antler LLC,E-Commerce,GI-Bro,61292072,29799,12879,16920,2022-02-19
2472,Google Inc.,E-Commerce,Clay-Dough,53335553,29786,1675,28111,2022-08-30
3927,Meta Platforms,Media Supported Asset,Clay-Dough,36977737,29722,22255,7467,2022-02-09
3770,Google Inc.,Media Supported Asset,Merf,79004827,29693,3961,25732,2022-06-17
363,Meta Platforms,Media Supported Asset,Transmorphers,89106097,29669,648,29021,2022-09-12
448,Disney Studios,Brand Asset Development,GI-Bro,85555057,29649,10345,19304,2022-03-22
4063,The Martingale Agency,Brand Asset Development,Merf,32957104,29625,16503,13122,2022-03-14
4610,TikTok Inc,Brand Asset Development,Transmorphers,16387482,29625,19971,9654,2022-02-21
3121,Pinterest Inc,Influencer,Clay-Dough,27044449,29612,10895,18717,2022-04-03
155,Disney Studios,E-Commerce,Merf,70920529,29604,913,28691,2022-07-03
3405,KYG Antler LLC,Media Supported Asset,GI-Bro,68484471,29582,4071,25511,2022-09-14
1419,TikTok Inc,Media Supported Asset,Merf,19657696,29544,5742,23802,2022-06-09
1226,TikTok Inc,Media Supported Asset,Space Wars,51156723,29495,17178,12317,2022-05-18
1340,Nintendo Technologies,Brand Asset Development,Clay-Dough,91020568,29474,10765,18709,2022-06-24
4500,Pinterest Inc,Brand Asset Development,Transmorphers,93819973,29473,12067,17406,2022-06-07
3936,Meta Platforms,Brand Publicity,Clay-Dough,18104354,29463,3031,26432,2022-04-15
3120,Pinterest Inc,Media Supported Asset,Clay-Dough,37241010,29450,3966,25484,2022-03-29
4270,Google Inc.,Media Supported Asset,Merf,25307673,29436,6328,23108,2022-05-02
3346,Google Inc.,Brand Asset Development,GI-Bro,54495039,29429,10929,18500,2022-03-14
2949,The Martingale Agency,Brand Asset Development,Transmorphers,42964850,29422,14680,14742,2022-06-16
4020,Nintendo Technologies,Influencer,Clay-Dough,22479432,29402,27416,1986,2022-01-05
3849,TikTok Inc,Brand Publicity,Merf,62828642,29333,2049,27284,2022-01-26
3668,Meta Platforms,Brand Publicity,GI-Bro,64618106,29319,26157,3162,2022-01-04
763,KYG Antler LLC,Brand Asset Development,Merf,93897659,29302,2458,26844,2022-09-12
2317,Meta Platforms,Brand Publicity,GI-Bro,15602409,29207,19735,9472,2022-04-11
262,Google Inc.,Brand Publicity,GI-Bro,62112147,29206,7948,21258,2022-01-22
1298,TikTok Inc,Media Supported Asset,Clay-Dough,25234584,29192,1246,27946,2022-06-03
1152,Google Inc.,Influencer,Space Wars,42584368,29159,8771,20388,2022-06-13
957,Disney Studios,Brand Asset Development,Merf,44901468,29156,4490,24666,2022-06-23
2351,The Martingale Agency,E-Commerce,Space Wars,41704513,29138,8520,20618,2022-03-28
1246,Nintendo Technologies,Influencer,GI-Bro,74719550,29111,3559,25552,2022-08-22
1089,Google Inc.,Brand Publicity,Space Wars,29055202,29037,3696,25341,2022-08-16
2853,Disney Studios,Influencer,Merf,53178964,29027,10493,18534,2022-05-22
1851,Disney Studios,Influencer,Clay-Dough,42860230,29023,1035,27988,2022-09-25
1961,Pinterest Inc,Media Supported Asset,Space Wars,89483421,28980,1860,27120,2022-07-19
1192,KYG Antler LLC,E-Commerce,Space Wars,89463234,28977,3152,25825,2022-09-13
3351,KYG Antler LLC,E-Commerce,GI-Bro,69603715,28946,26548,2398,2022-02-19
820,Nintendo Technologies,E-Commerce,Space Wars,75487645,28942,657,28285,2022-09-26
2961,Meta Platforms,Brand Asset Development,Clay-Dough,52435437,28930,2078,26852,2022-09-11
1478,KYG Antler LLC,Brand Publicity,Merf,63014962,28895,3958,24937,2022-05-11
2964,Meta Platforms,E-Commerce,Transmorphers,30911492,28872,24344,4528,2022-03-27
2781,Meta Platforms,Influencer,Space Wars,83572695,28864,19774,9090,2022-05-02
3195,Google Inc.,Media Supported Asset,GI-Bro,62143021,28811,25345,3466,2022-01-16
480,Disney Studios,Brand Asset Development,GI-Bro,13543803,28810,2451,26359,2022-07-22
1884,Nintendo Technologies,Media Supported Asset,Space Wars,61226931,28786,3366,25420,2022-07-21
4652,Meta Platforms,Brand Asset Development,Clay-Dough,42549905,28764,1592,27172,2022-08-16
2786,Disney Studios,Media Supported Asset,Clay-Dough,52845654,28737,14749,13988,2022-05-26
1753,TikTok Inc,Influencer,GI-Bro,66478242,28684,4486,24198,2022-01-27
4813,Nintendo Technologies,Media Supported Asset,Transmorphers,27934416,28609,118,28491,2022-07-07
2673,Disney Studios,E-Commerce,Transmorphers,86438539,28602,9037,19565,2022-05-19
2694,KYG Antler LLC,Brand Publicity,Transmorphers,22903829,28597,20908,7689,2022-04-02
4793,KYG Antler LLC,Brand Asset Development,GI-Bro,13853570,28554,9664,18890,2022-01-28
3831,Meta Platforms,Brand Publicity,Merf,85173850,28526,1692,26834,2022-02-11
418,Meta Platforms,Influencer,Space Wars,19115651,28509,966,27543,2022-07-06
4154,TikTok Inc,Influencer,Transmorphers,18555232,28497,3090,25407,2022-07-01
413,Disney Studios,Media Supported Asset,Transmorphers,18633373,28456,1202,27254,2022-03-13
4003,TikTok Inc,Brand Publicity,GI-Bro,25542652,28410,3227,25183,2022-07-21
3507,The Martingale Agency,E-Commerce,Transmorphers,74915720,28397,14969,13428,2022-05-20
2563,Nintendo Technologies,E-Commerce,Merf,28264811,28357,27276,1081,2022-04-27
3630,Meta Platforms,Influencer,Space Wars,48419368,28278,16306,11972,2022-02-02
2605,The Martingale Agency,Influencer,Transmorphers,50503417,28260,6199,22061,2022-04-05
184,The Martingale Agency,Brand Publicity,Space Wars,33732788,28207,4972,23235,2022-06-26
79,Disney Studios,Influencer,Merf,63861721,28169,16761,11408,2022-02-21
4098,KYG Antler LLC,Brand Publicity,Clay-Dough,77493526,28158,16364,11794,2022-06-04
3874,Google Inc.,Brand Asset Development,Merf,85792516,28153,1704,26449,2022-08-22
1646,TikTok Inc,Brand Asset Development,Space Wars,98575084,28131,2940,25191,2022-09-15
2968,Pinterest Inc,Media Supported Asset,Clay-Dough,40950401,28130,14759,13371,2022-06-14
3910,TikTok Inc,Influencer,Merf,66283596,28057,9097,18960,2022-04-30
4710,Meta Platforms,Brand Publicity,Merf,37069274,28039,3936,24103,2022-05-25
143,Meta Platforms,E-Commerce,Merf,97453874,28032,14607,13425,2022-04-02
3279,Nintendo Technologies,Influencer,Clay-Dough,37570544,27929,9239,18690,2022-04-19
397,Nintendo Technologies,Media Supported Asset,Space Wars,80782039,27921,13698,14223,2022-06-11
4435,The Martingale Agency,Influencer,Transmorphers,20204880,27908,21201,6707,2022-05-19
1493,TikTok Inc,Media Supported Asset,GI-Bro,31784226,27898,1310,26588,2022-08-31
2441,Disney Studios,Brand Publicity,Clay-Dough,90502991,27863,14702,13161,2022-03-28
4683,Meta Platforms,Media Supported Asset,GI-Bro,38225862,27835,2113,25722,2022-08-15
769,KYG Antler LLC,E-Commerce,Clay-Dough,99144399,27793,822,26971,2022-08-02
27,TikTok Inc,Media Supported Asset,Clay-Dough,25626638,27783,21239,6544,2022-01-31
2467,Pinterest Inc,Media Supported Asset,Space Wars,11046027,27743,21976,5767,2022-02-07
1522,Google Inc.,E-Commerce,GI-Bro,64572311,27712,1636,26076,2022-07-27
3186,Pinterest Inc,Brand Asset Development,Clay-Dough,30939735,27688,3215,24473,2022-03-12
4148,The Martingale Agency,E-Commerce,Clay-Dough,23673645,27677,19209,8468,2022-05-03
55,Disney Studios,Media Supported Asset,Clay-Dough,18914432,27648,22267,5381,2022-05-16
2539,Meta Platforms,E-Commerce,Clay-Dough,38731538,27633,7255,20378,2022-01-18
1031,Google Inc.,E-Commerce,Space Wars,80205725,27572,26984,588,2022-01-26
2692,Meta Platforms,Brand Asset Development,GI-Bro,14666626,27556,322,27234,2022-05-20
1178,TikTok Inc,E-Commerce,Clay-Dough,91075013,27487,2216,25271,2022-08-23
4352,Google Inc.,Influencer,GI-Bro,81729510,27466,20162,7304,2022-02-08
4644,Nintendo Technologies,Influencer,Clay-Dough,20322342,27414,1544,25870,2022-08-31
2752,Disney Studios,Influencer,Clay-Dough,60653955,27302,17990,9312,2022-01-31
2158,TikTok Inc,Brand Publicity,Transmorphers,95169124,27262,8520,18742,2022-06-29
1626,KYG Antler LLC,E-Commerce,Space Wars,54826867,27251,16577,10674,2022-06-01
4890,Google Inc.,Brand Asset Development,Transmorphers,96187999,27199,19272,7927,2022-03-30
566,The Martingale Agency,Influencer,Transmorphers,85473447,27177,17243,9934,2022-03-21
445,Google Inc.,Influencer,Clay-Dough,72537313,27155,26044,1111,2022-02-14
4410,Pinterest Inc,Brand Publicity,Space Wars,99664514,27146,22753,4393,2022-04-27
440,Disney Studios,Influencer,Transmorphers,57505760,27140,5029,22111,2022-04-06
929,TikTok Inc,Media Supported Asset,Clay-Dough,15414965,27119,260,26859,2022-09-14
4221,Google Inc.,Media Supported Asset,Transmorphers,86684912,27114,3121,23993,2022-05-15
1395,Meta Platforms,Brand Publicity,GI-Bro,88563273,27106,26911,195,2022-02-27
17,Google Inc.,Media Supported Asset,Space Wars,32142803,27043,24051,2992,2022-02-14
171,Meta Platforms,Brand Publicity,Merf,75615744,27040,593,26447,2022-08-23
215,Meta Platforms,E-Commerce,Merf,37730617,27030,16689,10341,2022-01-14
1296,Disney Studios,Influencer,Merf,39378290,27008,14026,12982,2022-03-07
408,Google Inc.,Media Supported Asset,Transmorphers,47684997,26998,17479,9519,2022-01-27
2538,Disney Studios,Media Supported Asset,Merf,31144569,26982,15781,11201,2022-05-17
881,The Martingale Agency,Brand Asset Development,Merf,32580507,26975,14780,12195,2022-06-06
4579,The Martingale Agency,Brand Asset Development,Space Wars,92448820,26934,22710,4224,2022-04-11
3376,TikTok Inc,Brand Publicity,Space Wars,37594907,26918,20012,6906,2022-04-11
2879,Disney Studios,Media Supported Asset,Merf,31839550,26865,300,26565,2022-07-28
4967,Disney Studios,E-Commerce,Transmorphers,79627257,26824,13954,12870,2022-01-08
3289,Disney Studios,Brand Publicity,GI-Bro,89584689,26796,8713,18083,2022-02-27
3160,Disney Studios,Influencer,Clay-Dough,86207817,26782,12946,13836,2022-04-03
1146,Google Inc.,Influencer,Space Wars,26233299,26766,1670,25096,2022-09-22
3415,KYG Antler LLC,Influencer,GI-Bro,98918264,26740,19196,7544,2022-03-17
3614,Disney Studios,Brand Asset Development,Transmorphers,23270132,26682,1137,25545,2022-07-31
3182,KYG Antler LLC,Brand Publicity,Merf,16238131,26672,1132,25540,2022-09-08
750,Pinterest Inc,Influencer,Transmorphers,39139335,26639,2217,24422,2022-03-17
2721,TikTok Inc,Media Supported Asset,GI-Bro,52682390,26633,9579,17054,2022-04-21
3363,Google Inc.,Brand Asset Development,GI-Bro,20043871,26550,11039,15511,2022-01-30
1889,The Martingale Agency,Brand Publicity,Transmorphers,93947404,26527,25495,1032,2022-04-11
337,Pinterest Inc,Brand Asset Development,Transmorphers,39162258,26521,9546,16975,2022-01-27
231,KYG Antler LLC,Influencer,Merf,87670146,26484,2292,24192,2022-04-08
1676,Google Inc.,E-Commerce,Merf,45656956,26455,257,26198,2022-08-20
3713,Disney Studios,Influencer,GI-Bro,34787084,26445,10880,15565,2022-04-13
4685,Google Inc.,Influencer,Merf,44469838,26442,7655,18787,2022-01-25
1972,Nintendo Technologies,Brand Asset Development,Clay-Dough,11284080,26438,25261,1177,2022-03-12
2287,Nintendo Technologies,Media Supported Asset,Merf,73070307,26433,1669,24764,2022-02-09
1720,Meta Platforms,Brand Asset Development,Merf,34075487,26426,738,25688,2022-07-15
1978,Google Inc.,Brand Publicity,Clay-Dough,95285622,26397,560,25837,2022-07-25
740,Pinterest Inc,Brand Publicity,Transmorphers,35795319,26392,824,25568,2022-07-15
3727,Google Inc.,E-Commerce,Clay-Dough,11839457,26365,664,25701,2022-08-10
